Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,TUDOR ROAD CSO,6NW800389,235/1905,235/1905,,SO on sewer network,NZ3583766907,8,River Tyne,RIVER TYNE ESTUARINE WATERS,,,Not Applicable,Commissioned in 2018 - full year data expected,138.75,47,49.0,5 (installed 2017),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3583766907,54.995461,-1.441381
Northumbrian Water,TURNBERRY WAY CSO,6NW801214,235/1964,235/1964,,SO on sewer network,NZ2549668514,GB103023075780,Ouse Burn from Source to Tyne,OUSE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,10 (installed pre-2013),99.99%,,,,,,,NZ2549668514,55.010535,-1.602869
Northumbrian Water,TURNER STREET SPS,6NW800871,223/0950,223/0950,,SO on sewer network,NU2649204607,GB510302203000,COQUET,RIVER COQUET (SALINE ESTUARY),,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,11.43,9,13.8,8 (installed 2014),29.86%,Installation set-up/design issue,Resolved - Sep,,,,,NU2649204607,55.334803,-1.583933
Northumbrian Water,Tursdale PS - NWL name,6NW000045,#TBC,Permit Anomaly,To be permitted for storm,Storm discharge at pumping station,NZ3011935485,GB103024077410,Croxdale Beck from Source to Wear,Coxhoe Beck,,,Not Applicable,EDM to be installed by December 2023,,,,,,,,,,,,NZ3011935485,54.713478,-1.534017
Northumbrian Water,TUTHILL STAIRS CSO,6NW800310,235/1922,235/1922,,SO on sewer network,NZ2502063650,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned in 2018 - full year data expected,14.95,22,13.8,4 (installed 2018),81.35%,Sensor failure / issue,Resolved - Jul,,,,,NZ2502063650,54.966852,-1.610734
Northumbrian Water,TWEEDSIDE INDUSTRIAL ESTATE CSO,6NW800818,210/1335,210/1335,,SO on sewer network,NT9962652518,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,16.83,22,34.5,10 (installed pre-2013),100%,,,,,,,NT9962652518,55.766007,-2.007528
Northumbrian Water,TYNE GREEN CSO TD030,6NW800897,233/1239,233/1239,,SO on sewer network,NY9349264832,GB103023075801,Tyne from Watersmeet to Tidal Limit,COCKSHAW BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.13,8,9.1,10 (installed pre-2013),100%,,,,,,,NY9349264832,54.978052,-2.103211
Northumbrian Water,TYNE STREET SPS,6NW801436,235/1656,235/1656,A1,Storm discharge at pumping station,NZ3305065810,8,River Tyne,TYNE SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.9,8 (installed 2014),99.12%,,,,,,,NZ3305065810,54.985795,-1.485067
Northumbrian Water,TYNE VIEW CSO,6NW800205,233/0991,233/0991,,SO on sewer network,NZ1849264426,GB510302310200,TYNE,LEMINGTON GUT,,,Not Applicable,Commissioned in 2017 - full year data expected,54.90,39,48.0,5 (installed 2017),59.34%,Comms failure / issue,Resolved - Dec,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ1849264426,54.974108,-1.712646
Northumbrian Water,TYNE VIEW TERRACE PS,6NW800590,235/1690,235/1690,235/1690-01,Storm discharge at pumping station,NZ3328066100,GB510302310200,TYNE,TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,698.69,88,53.3,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3328066100,54.988386,-1.48144
Northumbrian Water,TYNESIDE CSO (NO B5/301) NEWLAND DRIVE,6NW800370,235/B/0169,235/B/0169,,SO on sewer network,NZ3348164722,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned in 2018 - full year data expected,605.17,96,80.7,4 (installed 2018),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3348164722,54.97599,-1.478459
Northumbrian Water,TYNESIDE CSO B5/201,6NW800369,235/B/0168,235/B/0168,,SO on sewer network,NZ3351164888,GB103023075690,Don from Source to Tidal Limit,RIVER DON,,,Not Applicable,Commissioned in 2020 - full year data expected,455.59,75,46.0,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3351164888,54.97748,-1.477971
Northumbrian Water,ULGHAM SEWAGE TREATMENT WORKS,6NW800756,224/A/0887,224/A/0887,,Storm tank at WwTW,NZ2347192570,GB103022076820,Lyne from Source to Tidal Limit,River Lyne,,,Not Applicable,Commissioned in 2020 - full year data expected,69.25,38,46.0,2 (installed 2020),100%,,,Performance - GW inundation,N/A - Ongoing investigation,"Stage 1c: Confirmed ""hydraulic issue""",,NZ2347192570,55.226797,-1.632554
Northumbrian Water,ULSWATER CRESCENT CSO,6NW801019,241/1130,241/1130,,SO on sewer network,NZ1663435102,GB103024077390,Beechburn Beck (Trib of Wear),CROOK BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,33.50,21,28.3,10 (installed pre-2013),94.46%,,,,,,,NZ1663435102,54.710659,-1.743348
Northumbrian Water,UNION QUAY CSO,6NW800391,EPRBB3497EZ,EPRBB3497EZ,,SO on sewer network,NZ3614468363,GB510302310200,TYNE,RIVER TYNE (TIDAL),,,Not Applicable,Commissioned in 2017 - full year data expected,1.00,2,4.8,5 (installed 2017),100%,,,,,,,NZ3614468363,55.008522,-1.436399
Northumbrian Water,USWORTH HALL CSO,6NW801393,235/1953,235/1953,,SO on sewer network,NZ3155058850,GB103023075690,Don from Source to Tidal Limit,"DON, TRIBUTARY OF",,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,1.7,10 (installed pre-2013),98.42%,,,,,,,NZ3155058850,54.92335,-1.509269
Northumbrian Water,VALLEY TERRACE CSO,6NW801015,241/1122,241/1122,,SO on sewer network,NZ1667932599,GB103024077390,Beechburn Beck (Trib of Wear),BEECHBURN BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,34.75,8,24.3,10 (installed pre-2013),87.65%,Comms failure / issue,Resolved - Mar,,,,,NZ1667932599,54.688165,-1.742792
Northumbrian Water,VEDRA CLOSE SSO,6NW800889,241/A/0999,241/A/0999,,SO on sewer network,NY8621039420,GB103024077440,"Wear from Wearhead to Middlehope Burn, Iresho",WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.75,1,1.3,10 (installed pre-2013),99.99%,,,,,,,NY8621039420,54.749542,-2.215758
Northumbrian Water,VERONICA STREET CSO,6NW801576,254/1205,254/1205,,SO on sewer network,NZ5068319719,GB103025072210,Marton West Beck Catchment (trib of Tidal Tees),ORMESBY BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,27.75,10,19.0,10 (installed pre-2013),94.05%,,,,,,,NZ5068319719,54.570161,-1.217576
Northumbrian Water,VICTORIA EMBANKMENT - POLAM LANE,6NW801296,25/03/1231,25/03/1231,,SO on sewer network,NZ2884413754,GB103025072596,Skerne from Demons Beck to Tees,RIVER SKERNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,43.50,10,11.4,10 (installed pre-2013),99.69%,,,,,,,NZ2884413754,54.518267,-1.555937
Northumbrian Water,VICTORIA RD AT SANDOWN GARDENS CSO,6NW801181,235/1933,235/1933,,SO on sewer network,NZ2414661344,GB103023075670,Team from Source to Tyne,TEAM,,,Not Applicable,Commissioned pre-2016 - full year data expected,38.67,34,22.7,10 (installed pre-2013),95.00%,,,,,,,NZ2414661344,54.946173,-1.624578
Northumbrian Water,VICTORIA ROAD CSO,6NW800558,25/03/1253,25/03/1253,A1,Storm discharge at pumping station,NZ2908014160,GB103025072596,Skerne from Demons Beck to Tees,RIVER SKERNE,,,Not Applicable,Commissioned in 2019 - full year data expected,4.58,19,10.3,4 (installed 2018),100%,,,,,,,NZ2908014160,54.521903,-1.552252
Northumbrian Water,VINDOMORA VILLAS CSO,6NW800959,234/1155,234/1155,,SO on sewer network,NZ1052155764,GB103023074790,Derwent from Burnhope Burn to River Tyne,BLACKSTONE BURN RIVER DERWENT,,,Not Applicable,Commissioned pre-2016 - full year data expected,17.00,17,13.2,10 (installed pre-2013),99.95%,,,,,,,NZ1052155764,54.8965,-1.837484
Northumbrian Water,VINOVIUM CSO A27,6NW801099,242/C/0385,242/C/0385,,SO on sewer network,NZ2101627823,GB103024072730,Gaunless from Hummer Beck to Wear,GAUNLESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,25.00,35,43.7,10 (installed pre-2013),99.75%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,,,NZ2101627823,54.645084,-1.675858
Northumbrian Water,VINOVIUM CSO NO A22,6NW800275,242/C/0380,242/C/0380,,SO on sewer network,NZ2182128532,GB103024072730,Gaunless from Hummer Beck to Wear,RIVER GAUNLESS,,,Not Applicable,Commissioned in 2017 - full year data expected,1.00,3,1.6,5 (installed 2017),85.06%,Comms failure / issue,Resolved - Feb,,,,,NZ2182128532,54.651421,-1.663332
Northumbrian Water,VINOVIUM CSO NO A9,6NW801104,242/C/0368,242/C/0368,,SO on sewer network,NZ2065130313,GB103024077463,Wear from Beechburn Beck to Gaunless,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,4,1.8,10 (installed pre-2013),97.76%,,,,,,,NZ2065130313,54.667475,-1.681339
Northumbrian Water,VINOVIUM SSO NO A13,6NW801134,242/C/0371,242/C/0371,,SO on sewer network,NZ2150029900,GB103024072730,Gaunless from Hummer Beck to Wear,GAUNLESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,38.50,31,15.2,10 (installed pre-2013),99.96%,,,,,,,NZ2150029900,54.663728,-1.668206
Northumbrian Water,VINOVIUM SSO NO A23 ATHERTON TERRACE,6NW000014,242/C/0381,242/C/0381,,SO on sewer network,NZ2201028387,GB103024072730,Gaunless from Hummer Beck to Wear,Dene Beck,,,Not Applicable,EDM to be installed by December 2023,,,,,,,,,,,,NZ2201028387,54.65011,-1.660413
Northumbrian Water,VINOVIUM SSO NO A32 RIVER WALK WV 12,6NW801060,242/1062,242/1062,,SO on sewer network,NZ1858026500,GB103024072690,Gaunless from Source to Hummer Beck,GAUNLESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,3,5.7,10 (installed pre-2013),99.62%,,,,,,,NZ1858026500,54.633289,-1.713689
Northumbrian Water,"VINOVIUM SSOS A17, A18, A19 & A21",6NW801129,242/C/0375,242/C/0375,,SO on sewer network,NZ2132828289,GB103024072730,Gaunless from Hummer Beck to Wear,River Gaunless,,,Not Applicable,Commissioned pre-2016 - full year data expected,5.75,11,9.1,10 (installed pre-2013),99.57%,,,,,,,NZ2132828289,54.649258,-1.67099
Northumbrian Water,VINOVIUM STW,6NW800744,243/0966,243/0966,243/0966-03,Storm tank at WwTW,NZ2044031770,GB103024077464,Wear from Gaunless to Browney,WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,188.30,23,49.0,3 (installed 2019),99.77%,,,N/A - Ongoing investigation,Scheduled,,,NZ2044031770,54.680577,-1.684509
Northumbrian Water,VULCAN STREET OUTFALL,6NW800651,254/1513,QR.25/04/1513,A,Storm discharge at pumping station,NZ5028721138,10,River Tees Estury,River Tees,,,Not Applicable,Commissioned in 2021 - full year data expected,5.00,10,10.0,1 (installed 2021),100%,,,,,,,NZ5028721138,54.582951,-1.223458
Northumbrian Water,WADDINGTON STREET CSO,6NW801228,245/1287,245/1287,,SO on sewer network,NZ2671042670,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,10 (installed pre-2013),99.85%,,,,,,,NZ2671042670,54.778236,-1.586272
Northumbrian Water,WADES FARM CSO WV 010,6NW801072,242/1061,242/1061,,SO on sewer network,NZ1962826211,GB103024072730,Gaunless from Hummer Beck to Wear,RIVER GAUNLESS,,,Not Applicable,Commissioned pre-2016 - full year data expected,7.50,6,14.0,10 (installed pre-2013),99.99%,,,,,,,NZ1962826211,54.630653,-1.697473
Northumbrian Water,WAGONWAY ROAD PUMPING STATION,6NW800578,235/1745,235/1745,235/1745-01,Storm discharge at pumping station,NZ3152065820,GB510302310200,TYNE,RIVER TYNE SALINE ESTUARY,,,Not Applicable,Commissioned in 2020 - full year data expected,1401.11,132,143.0,3 (installed 2019),100%,,,Performance - Infiltration,N/A - Ongoing investigation,,,NZ3152065820,54.985984,-1.508974
Northumbrian Water,WALDRIDGE ROAD CSO CH 13,6NW801201,245/1305,245/1305,,SO on sewer network,NZ2528050380,GB103024077560,Cong Burn from Source to Twizell Burn,CONG BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.50,4,2.1,10 (installed pre-2013),98.90%,,,,,,,NZ2528050380,54.847593,-1.607833
Northumbrian Water,WALKERGATE DURHAM CSO,6NW801267,EPRCB3097WP,EPRCB3097WP,,SO on sewer network,NZ2733142671,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,35.25,14,17.8,10 (installed pre-2013),39.36%,Capital / maintenance works affect EDM operation,Resolved - Aug,,,,,NZ2733142671,54.778212,-1.576618
Northumbrian Water,WALL SEWAGE TREATMENT WORKS,6NW800135,231/A/0454,231/A/0454,,Inlet SO at WwTW (12xDWF),NY9136068550,GB103023075802,N Tyne from Barrasford to S Tyne confluence,NORTH TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,0.57,3,2.0,2 (installed 2020),100%,,,,,,,NY9136068550,55.011429,-2.136634
Northumbrian Water,WALL SEWAGE TREATMENT WORKS,6NW800134,231/A/0453,231/A/0453,,Inlet SO at WwTW (6-12 x DWF),NY9139068533,GB103023075802,N Tyne from Barrasford to S Tyne confluence,River North Tyne,,,Not Applicable,Commissioned in 2020 - full year data expected,101.96,85,76.0,3 (installed 2019),99.64%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NY9139068533,55.011277,-2.136165
Northumbrian Water,WALLRIDGE SEWAGE DISPOSAL WORKS,6NW800807,226/0150,Permit Anomaly - STW permit 226/0150,to be permitted for settled storm,Storm tank at WwTW,NZ0590076400,GB103022076890,Coldcoats Burn Catchment (trib of Pont),Cleugh Burn,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ0590076400,55.082013,-1.909118
Northumbrian Water,WANSBECK ROAD CSO (NTY 007),6NW801216,226/1256,226/1256,,SO on sewer network,NZ2585173432,GB103022076190,Seaton Burn from Source to Tidal Limit,SEATON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,4.9,10 (installed pre-2013),99.32%,,,,,,,NZ2585173432,55.05471,-1.596875
Northumbrian Water,WAPPING STREET CSO,6NW801484,235/1902,235/1902,,SO on sewer network,NZ3625168068,GB510302310200,TYNE,RIVER TYNE ESTUARINE WATERS,,,Not Applicable,Commissioned pre-2016 - full year data expected,84.25,33,20.1,10 (installed pre-2013),81.73%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ3625168068,55.005863,-1.434764
Northumbrian Water,WARDEN GROVE SSO,6NW801423,245/C/0293,245/C/0293,,SO on sewer network,NZ3378448740,GB103024077580,Lumley Park Burn from Source to Herrington Burn,RAINTON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,53.50,40,50.7,10 (installed pre-2013),94.63%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ3378448740,54.832357,-1.475595
Northumbrian Water,WARDEN VILLAGE STW,6NW800891,231/0271,231/0271,A2,Inlet SO at WwTW,NY9169666201,GB103023075802,N Tyne from Barrasford to S Tyne confluence,NORTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.00,3,3.0,8 (installed 2014),99.79%,,,,,,,NY9169666201,54.990327,-2.131311
Northumbrian Water,WARK SEWAGE TREATMENT WORKS,6NW800453,210/1312,210/1312,210/1312-03,Storm discharge at pumping station,NT8275038650,437,River Tweed,THE GOAT,,,Not Applicable,Commissioned pre-2016 - full year data expected,28.50,21,25.6,10 (installed pre-2013),94.01%,,,,,,,NT8275038650,55.641092,-2.275605
Northumbrian Water,WARK STW,6NW800703,231/1071,231/1071,231/1071-03,Storm tank at WwTW,NY8627076660,GB103023074920,N Tyne from Rede to Gunnerton Burn,RIVER NORTH TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,,,4.0,3 (installed 2019),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NY8627076660,55.08419,-2.216618
Northumbrian Water,WARKWORTH DRIVE CSO,6NW801234,245/1115,245/1115,,SO on sewer network,NZ2654049880,GB103024077623,South Burn to confluence with Wear,SOUTH BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,0.2,10 (installed pre-2013),99.54%,,,,,,,NZ2654049880,54.843035,-1.588257
Northumbrian Water,WOODLANDS PUMPING STATION NO3 WARKWORTH  ,6NW800475,223/B/0223,223/B/0223,A1,Storm discharge at pumping station,NU2490005700,GB510302203000,COQUET,COQUET,,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,12.00,3,2.3,7 (installed 2015),87.71%,Comms failure / issue,Resolved - Aug,,,,,NU2490005700,55.344707,-1.608932
Northumbrian Water,WARKWORTH SEWERAGE SYSTEM SSO MH NO St Lawrence Court,6NW800867,223/B/0057,223/B/0057,,SO on sewer network,NU2460006000,GB510302203000,COQUET,"COQUET, TIDAL WATERS",,Warkworth & Amble Links,Not Applicable,Commissioned pre-2016 - full year data expected,2.13,2,1.7,9 (installed 2013),100%,,,,,,,NU2460006000,55.347418,-1.613636
Northumbrian Water,WARREN HOUSE SEA OUTFALL HIGH RELIEF,6NW800187,255/1158,255/1158,,Inlet SO at WwTW,NZ4435042600,367,Warren House Gill to North Sea,WARREN HOUSE BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,0.0,2 (installed 2020),76.78%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ4435042600,54.776363,-1.312058
Northumbrian Water,WARRENBY SEA OUTFALL,6NW800670,256/0908,256/0908,A,Storm discharge at pumping station,NZ5836025970,GB650301500005,Tees Coastal,NORTH SEA,,Redcar Coatham,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.0,4 (installed 2018),100%,,,,,,,NZ5836025970,54.625504,-1.097607
Northumbrian Water,WARSDELL STREET PUMPING STATION,6NW801401,226/1154,226/1154,226/1154-01,Storm discharge at pumping station,NZ3116082360,GB510302203200,BLYTH (N),BLYTH SALINE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,22.25,11,7.3,10 (installed pre-2013),96.37%,,,,,,,NZ3116082360,55.134631,-1.512799
Northumbrian Water,WASHINGTON CSO DON GARDENS - NWL name,6NW000038,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ3102858090,GB103023075690,Don from Source to Tidal Limit,Culverted tributary of the River Don,,,Not Applicable,Commissioned pre-2016 - full year data expected,23.75,11,12.3,10 (installed pre-2013),99.99%,,,,,,,NZ3102858090,54.916554,-1.517495
Northumbrian Water,WASHINGTON STW CSO INLET,6NW800177,245/1244,245/1244,245/1244-04,Inlet SO at WwTW,NZ3310055530,GB510302402900,WEAR,WEAR,,,Not Applicable,Commissioned in 2021 - full year data expected,18.75,9,9.0,1 (installed 2021),100%,,,,,,,NZ3310055530,54.893417,-1.485466
Northumbrian Water,WASHINGTON STW Storm Tank,6NW800781,245/1244,245/1244,245/1244-03,Storm tank at WwTW,NZ3310055530,GB510302402900,WEAR,WEAR,,,Not Applicable,Commissioned in 2021 - full year data expected,,,0.0,1 (installed 2021),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ3310055530,54.893417,-1.485466
Northumbrian Water,WASHINGTON VILLAGE CEMETRY CSO,6NW801391,NPSWQD006113,NPSWQD006113,,SO on sewer network,NZ3183055950,9,River Wear,WILLOWS POND,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.2,10 (installed pre-2013),99.99%,,,,,,,NZ3183055950,54.897274,-1.50522
Northumbrian Water,WASHINGWELL SCHOOL CSO,6NW801139,235/1508,235/1508,,SO on sewer network,NZ2168660319,GB103023075670,Team from Source to Tyne,BLACK BURN TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,12.0,10 (installed pre-2013),99.61%,,,,,,,NZ2168660319,54.937075,-1.663059
Northumbrian Water,WATERHOUSE CSO,6NW801148,EPRAB3691VY,EPRAB3691VY,,SO on sewer network,NZ2268041971,GB103024077280,Deerness from Hedleyhope Burn to Browney,RIVER BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,31.25,8,6.7,10 (installed pre-2013),99.32%,,,,,,,NZ2268041971,54.772152,-1.648978
Northumbrian Water,WATERVILLE ROAD CSO,6NW800375,235/1898,235/1898,,SO on sewer network,NZ3499267109,8,River Tyne,WEST END PARK BURN,,,Not Applicable,Commissioned in 2017 - full year data expected,0.43,3,1.8,5 (installed 2017),75.05%,Sensor failure / issue,N/A - Ongoing investigation,,,,,NZ3499267109,54.997336,-1.454564
Northumbrian Water,WATTS SLOPE HIGH LEVEL CSO (A56),6NW800383,235/1796,235/1796,,SO on sewer network,NZ3547372800,GB650301500002,Tyne and Wear,NORTH SEA,,Whitley Bay,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.0,4 (installed 2018),100%,,,,,,,NZ3547372800,55.048439,-1.446341
Northumbrian Water,WEAR CHARE CSO,6NW801136,241/1116,241/1116,,SO on sewer network,NZ2111030410,GB103024077463,Wear from Beechburn Beck to Gaunless,WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,67.25,49,41.1,10 (installed pre-2013),99.15%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ2111030410,54.668328,-1.674216
Northumbrian Water,WEAR VIEW A CSO SE001,6NW801145,243/0992,243/0992,,SO on sewer network,NZ2208034140,GB103024077464,Wear from Gaunless to Browney,STRAIT THE,,,Not Applicable,Commissioned pre-2016 - full year data expected,3.25,8,5.6,10 (installed pre-2013),99.99%,,,,,,,NZ2208034140,54.701806,-1.658896
Northumbrian Water,WEAR VIEW B CSO,6NW800288,243/0921,243/0921,,SO on sewer network,NZ2208734118,GB103024077464,Wear from Gaunless to Browney,"THE STRAIT, CULVERTED WATERCRS",,,Not Applicable,Commissioned in 2016 - full year data expected,0.00,0,0.8,6 (installed 2016),99.98%,,,,,,,NZ2208734118,54.701608,-1.658789
Northumbrian Water,WELL BANK CSO,6NW801300,25/03/1254,25/03/1254,,SO on sewer network,NZ2859722534,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER SKERNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.75,4,5.0,8 (installed 2014),99.99%,,,,,,,NZ2859722534,54.597183,-1.558902
Northumbrian Water,WELL BANK CSO TD008,6NW800906,233/1252,233/1252,,SO on sewer network,NY9866364410,GB103023075801,Tyne from Watersmeet to Tidal Limit,RIVER TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,74.00,46,46.8,10 (installed pre-2013),96.64%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NY9866364410,54.974301,-2.022419
Northumbrian Water,WELLFIELD PS,6NW800617,255/1108,255/1108,255/1108-02,Storm discharge at pumping station,NZ4046038485,GB103025075930,Castle Eden Burn from Source to North Sea,CASTLE EDEN BURN TRIB,,,Not Applicable,Commissioned pre-2016 - full year data expected,37.50,21,16.5,10 (installed pre-2013),99.82%,,,,,,,NZ4046038485,54.739713,-1.373099
Northumbrian Water,WELLINGTON LANE PUMPING STATION,6NW800609,245/1211,245/1211,245/1211-01,Storm discharge at pumping station,NZ3890158135,GB510302402900,WEAR,RIVER WEAR (SALINE ESTUARY),,,Not Applicable,Commissioned pre-2016 - full year data expected,24.25,18,22.9,9 (installed 2013),99.80%,,,,,,,NZ3890158135,54.916409,-1.394677
Northumbrian Water,WELLINGTON ROAD CSO (E9-102),6NW800280,#TBC,Permit Anomaly,To be permitted for storm,SO on sewer network,NZ2224662911,8,River Tyne,River Tyne,,,Not Applicable,Commissioned in 2020 - full year data expected,444.69,42,50.5,2 (installed 2020),95.10%,,,Performance - Infiltration,N/A - Ongoing investigation,,,NZ2224662911,54.960342,-1.654119
Northumbrian Water,WELWYN FACTORY CSO,6NW801293,226/1267,226/1267,,SO on sewer network,NZ2785783760,GB103022076230,Sleek Burn / Hepscott Burn Source  to Tidal Limit,SLEEKBURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,70.50,32,36.9,10 (installed pre-2013),99.49%,,,,,,,NZ2785783760,55.147407,-1.564467
Northumbrian Water,WESLEY TERRACE CSO,6NW800244,235/1536,235/1536,,SO on sewer network,NZ1687452290,GB103023075670,Team from Source to Tyne,KYO BURN (CULVERTED),,,Not Applicable,Commissioned in 2016 - full year data expected,6.25,9,7.0,6 (installed 2016),99.99%,,,,,,,NZ1687452290,54.865109,-1.73863
Northumbrian Water,WEST BOLDON CSO (NO 4),6NW801469,235/F/0614,235/F/0614,,SO on sewer network,NZ3586962022,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,67.25,32,72.8,10 (installed pre-2013),99.30%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ3586962022,54.951563,-1.44149
Northumbrian Water,WEST BOLDON CSO NO 3,6NW801467,235/F/0613,235/F/0613,,SO on sewer network,NZ3587062020,GB103023075690,Don from Source to Tidal Limit,DON,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.0,10 (installed pre-2013),99.93%,,,,,,,NZ3587062020,54.951545,-1.441475
Northumbrian Water,WEST COATHAM LANE CSO,6NW801601,254/1914,254/1914,,SO on sewer network,NZ5797023810,GB103025072320,Tees Estuary (S Bank),TRIB OF THE FLEET,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.50,3,4.8,10 (installed pre-2013),99.94%,,,,,,,NZ5797023810,54.60614,-1.104073
